Data,Item / Evento,Pág.,Dimensão IVS,Cód. Variável,Tipo Relação,Resumo,Localidade,Tipo Evento,Gravidade,Observação,Cód. Lot.,Confiança,Polaridade,Origem
14/03/2026,Medidas protetivas,s/n,capital_humano,CH_04,direta,94 medidas protetivas jan-fev/2026; +11.9% vs 2025; maior volume entre 6 municipios,Hortolandia,problema,alta,Fonte TJ-SP; dado auditavel para CRAM e CREAS,nao_aplicavel,nao_aplicavel,negativo,seguranca
15/03/2026,Caso Nicolly Pogere,s/n,capital_humano,CH_03,direta,Adolescente assassinada jul/2025; casal 14 e 17 anos apreendido; mae mobiliza Lei Nicolly Pogere,Hortolandia,caso_individual,alta,Interface CREAS e Conselho Tutelar,nao_aplicavel,nao_aplicavel,negativo,seguranca
18/03/2026,Forum de Empregabilidade,s/n,renda_trabalho,RT_02,direta,Forum Dimas + Maria dos Anjos vinculado ao programa EMPREGA_HORTOLANDIA,Hortolandia,politica_publica,media,Dado registrado em dim_programa_v05,nao_aplicavel,nao_aplicavel,positivo,institucional
18/03/2026,Embalixo 5x2,s/n,renda_trabalho,RT_02,direta,110 contratacoes formais; dado futuro para cruzamento CAGED,Hortolandia,politica_publica,media,Evidencia empirica de insercao produtiva formal,nao_aplicavel,nao_aplicavel,positivo,institucional
18/03/2026,Ministra das Mulheres Jardim Amanda,s/n,capital_humano,CH_04,direta,Visita ao nucleo Amanda; contexto de vulnerabilidade feminina,Jd Amanda,politica_publica,media,Nucleo mais presente no CadUnico com 10208 registros,351,alto,positivo,institucional
21/03/2026,Exposicao Mulheres que Inspiram,s/n,capital_humano,CH_04,direta,Acao SMIDS/DPP PcD no Palacio dos Migrantes,Hortolandia,politica_publica,media,Acao pontual nao entra no catalogo de programas,nao_aplicavel,nao_aplicavel,positivo,institucional
21/03/2026,Residencial Senior Terca da Serra,s/n,renda_trabalho,RT_04,contextual,Segunda unidade Parque Ortolandia 30 leitos; envelhecimento demografico,Hortolandia,infraestrutura,media,Impacto futuro em RT_04 Economia Prateada,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
21/03/2026,17a Caravana Federativa equipamentos saude,s/n,capital_humano,CH_01,direta,Saude recebeu equipamentos de fisioterapia reabilitacao oftalmologia,Hortolandia,politica_publica,media,Amplia capacidade de resposta Capital Humano,nao_aplicavel,nao_aplicavel,positivo,institucional
21/03/2026,Reajuste funcionalismo 2.51%,s/n,renda_trabalho,RT_01,direta,Lei 4606/2026 5200 servidores IPCA 10 meses,Hortolandia,politica_publica,media,Contexto custo de vida e pressao sobre renda,nao_aplicavel,nao_aplicavel,positivo,institucional
24/03/2026,Mercado imobiliario +10%,s/n,infraestrutura_urbana,IU_01,direta,Crescimento imobiliario Hortolandia; pressao em novos loteamentos,Hortolandia,problema,media,Indicador de expansao territorial; impacto em IU_01 e IU_02,nao_aplicavel,nao_aplicavel,negativo,seguranca
24/03/2026,Parque Terras de Santa Maria,s/n,infraestrutura_urbana,IU_01,direta,Obras iniciadas; evento positivo de infraestrutura urbana,Hortolandia,infraestrutura,media,Verificar nome oficial do programa,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
24/03/2026,TCE-SP auditorias operacionais 2026,s/n,infraestrutura_urbana,SMIDS_EXT,contextual,TCE-SP amplia auditorias; argumento institucional para o Atlas Social,Hortolandia,politica_publica,media,Rastreabilidade e evidencia tecnica,nao_aplicavel,nao_aplicavel,positivo,institucional
25/03/2026,Gasolina media R$ 6.41,s/n,renda_trabalho,RT_01,direta,Procon fiscaliza postos; preco medio regional R$ 6.41,Hortolandia,problema,alta,Pressao de custo de vida sobre renda familiar,nao_aplicavel,nao_aplicavel,negativo,economico
25/03/2026,PROUNI Hortolandia,s/n,capital_humano,CH_07,direta,Proposta legislativa acesso ao PROUNI; impacto potencial em CH_07 e RT_02,Hortolandia,politica_publica,media,Indicacao legislativa aguarda aprovacao,nao_aplicavel,nao_aplicavel,positivo,institucional
25/03/2026,UBS Terras de Santa Maria,s/n,capital_humano,CH_01,direta,Obras UBS iniciadas; expansao rede de saude em loteamentos de crescimento,Hortolandia,infraestrutura,media,Equipamento de saude fora do escopo SMIDS,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
25/03/2026,CAPS Vida Jardim America,s/n,capital_humano,CH_08,direta,CAPS autorizado; saude mental; interface futura com PAEFI,Hortolandia,infraestrutura,media,Equipamento de saude fora do escopo SMIDS,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
26/03/2026,Programa Cuidar,9,capital_humano,CH_04,direta,Entrega kits de maternidade 6025 kits desde 2022,Hortolândia,politica_publica,media,Acao institucional SMIDS,nao_aplicavel,nao_aplicavel,positivo,institucional
26/03/2026,Abastecimento BRK,9,infraestrutura_urbana,IU_01,direta,Oscilacao de abastecimento em 14 bairros,Hortolândia,problema,media,Cruzar com loteamentos afetados,nao_aplicavel,nao_aplicavel,negativo,infraestrutura
26/03/2026,Idoso encontrado morto,8,capital_humano,CH_05,indireta,Idoso sozinho em situacao de vulnerabilidade hipertenso alcoolista,Jd Nova Hortolândia,caso_individual,alta,Vulnerabilidade individual com possivel isolamento social,319,alto,negativo,assistencial
27/03/2026,Manifesto servidores vale-alimentacao,1,renda_trabalho,RT_01,direta,Servidores municipais pedem vale-refeicao; PL encaminhado a Camara,Hortolândia,politica_publica,media,Contexto politico relevante para periodo de apresentacao em abril,nao_aplicavel,nao_aplicavel,positivo,institucional
27/03/2026,Protocolo Coordenacao Pedagogica,8,capital_humano,CH_07,direta,Lancamento protocolo formativo para coordenadores pedagogicos; 26 mil alunos,Hortolândia,politica_publica,media,Acao da Educacao; interface com CH_03 e CH_07,nao_aplicavel,nao_aplicavel,positivo,institucional
27/03/2026,Zeladoria Parque Lago da Fe,8,SMIDS_EXT,SMIDS_EXT,contextual,Mutirao manutencao Parque Lago da Fe e Parque Chico Mendes,Hortolândia,infraestrutura,media,Parque Gabriel em area de vulnerabilidade,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
27/03/2026,Furto de carga Jardim Amanda,9,SMIDS_EXT,SMIDS_EXT,indireta,Quatro presos furto de oleo Av. Princesa Isabel,Jardim Amanda,problema,media,Ocorrencia de seguranca no Jd. Amanda,351,alto,negativo,seguranca
28/03/2026,Ana Perugini R$ 400 mil CRAS Jardim Brasil,7,multidimensional,governanca,contextual,Emenda R$ 400 mil para ampliacao CRAS Jardim Brasil,Hortolandia,politica_publica,media,Ampliacao de CRAS relevante para modelagem de cobertura territorial,nao_aplicavel,nao_aplicavel,positivo,institucional
28/03/2026,Tentativa estupro praca publica,9,multidimensional,CH_05,indireta,Tentativa estupro praca proxima Hospital Mario Covas; suspeito foragido,Hortolandia,problema,alta,Violencia de genero em espaco publico; interface PAEFI e CRAM,nao_aplicavel,nao_aplicavel,negativo,seguranca
28/03/2026,ISLU 2025 Hortolandia posicao 1301,6,infraestrutura_urbana,IU_02,direta,Hortolandia posicao 1301 indice 0.538 conceito medio ranking nacional,Hortolandia,problema,media,Dado auditavel corrobora IU_02,nao_aplicavel,nao_aplicavel,negativo,seguranca
28/03/2026,Parque Jd Amanda espaco patinacao,4,multidimensional,SMIDS_EXT,contextual,Implantacao area patinacao Parque Socioambiental Jd. Amanda,Hortolandia,infraestrutura,media,Equipamento publico em loteamento de interesse,351,alto,positivo,infraestrutura
29/03/2026,Conserto erosao EMEIEF Jd Amanda III,9,infraestrutura_urbana,IU_01,direta,Reparo afundamento solo Rua Duque de Caxias frente escola municipal,Hortolandia,problema,media,Infraestrutura urbana em loteamento de interesse,351,alto,negativo,seguranca
29/03/2026,Ana Perugini R$ 1.57 mi Centro Inteligencia Social,7,capital_humano,RT_04,direta,Emenda Centro Inteligencia Social; convivencia melhor idade e cursos qualificacao,Hortolandia,politica_publica,media,Equipamento voltado a idosos; interface direta com RT_04,nao_aplicavel,nao_aplicavel,positivo,institucional
31/03/2026,Homicidio madeireira Jd Amanda II,10,multidimensional,RT_01,indireta,Homem 46 anos assassinado por dois suspeitos em motocicleta Av. Brasil,Hortolandia,violencia,alta,Homicidio em loteamento RP_3; investigado pelo 2o DP,457,medio,negativo,seguranca
31/03/2026,Adolescente morre colisao moto Vila Verde,9,capital_humano,CH_01,contextual,Adolescente 17 anos colisao motocicleta contra poste; sem capacete,Hortolandia,violencia,alta,Mortalidade juvenil RP_2; interface direta com CH_01,398,alto,negativo,seguranca
31/03/2026,Violencia domestica arma fogo Parque Santo Andre,9,multidimensional,CH_05,direta,Homem preso violencia domestica porte ilegal arma .380 contra ex-companheira,Hortolandia,violencia,alta,Interface com CRAM e CH_04/CH_05; arma com registro de furto,318,alto,negativo,seguranca
01/04/2026,Hortolandia conquista Selo FNAS 2025,8,governanca,multidimensional,contextual,Municipio conquista Selo FNAS 2025; rede SUAS atende 72 mil pessoas,Hortolandia,institucional,nao_aplicavel,Evidencia capacidade institucional instalada; suporte para IVS alto + IPST baixo,nao_aplicavel,nao_aplicavel,positivo,institucional
01/04/2026,GM apreende drogas em abrigo Jd Conceicao,8,capital_humano,CH_05,direta,Mulher acolhida Abrigo Esperanca com quatro filhos detida com drogas; Conselho Tutelar acionado,Hortolandia,vulnerabilidade,alta,Criancas em risco dentro de equipamento de protecao social; RP_5,57,alto,negativo,assistencial
01/04/2026,Homem baleado madeireira Jd Amanda II,9,multidimensional,CH_01,indireta,Eduardo Zani 46 anos baleado na cabeca em madeireira; socorro por populares; vitima nao resistiu,Hortolandia,violencia,alta,Homicidio em ambiente de trabalho informal; RP_3,457,medio,negativo,seguranca
01/04/2026,Irmaos autuados roubos motos Jd Conceicao,9,capital_humano,CH_08,direta,Dois irmaos detidos; adolescente entre suspeitos; confessaram dois roubos de motocicletas,Hortolandia,violencia,alta,CH direto adolescente em conflito com a lei; RP_5,57,medio,negativo,seguranca
02/04/2026,Audiencia Publica Plano Diretor 07/04,4,governanca,SMIDS_GOV,contextual,Audiencia publica PLC 11/2025 Plano Diretor Camara Municipal em 07/04,Hortolandia,institucional,media,Instrumento que define base territorial do Atlas; RPs e loteamentos,nao_aplicavel,nao_aplicavel,positivo,institucional
02/04/2026,GM 36 averiguacoes criminais marco,4,multidimensional,multidimensional,contextual,Balanco GM marco 2026; 36 averiguacoes criminosas incluindo tentativas feminicidio,Hortolandia,violencia,alta,Dado agregado mensal; referencia serie temporal do Atlas,nao_aplicavel,nao_aplicavel,negativo,seguranca
02/04/2026,GM 14 casos Lei Maria da Penha marco,4,capital_humano,CH_05,direta,Balanco GM marco 2026; 14 ocorrencias LMP; 3316 ligacoes; 304 BOs lavrados,Hortolandia,violencia,alta,Dado oficial auditavel; base para serie temporal CH_05,nao_aplicavel,nao_aplicavel,negativo,seguranca
02/04/2026,Viaduto Vila Real reta final,12,infraestrutura_urbana,SMIDS_EXT,contextual,Pavimentacao Rua Argolino de Moraes concluida; entrega final prevista abril/maio,Hortolandia,infraestrutura,media,Infraestrutura viaria reorganizacao fluxo urbano; RP_6,63,medio,positivo,infraestrutura
03/04/2026,Monte Sinai 152 UH e saneamento,7,infraestrutura_urbana,IU_01,direta,Construcao de 152 unidades habitacionais para moradores de areas de risco em parceria com CDHU,Hortolandia,infraestrutura,alta,Impacto estrutural na reducao da vulnerabilidade habitacional; area em regularizacao fundiaria,sem_codigo_monte_sinai,medio,positivo,infraestrutura
05/04/2026,Empregos no setor supermercadista,3,renda_trabalho,RT_02,direta,Hortolandia se destaca na geracao de empregos no setor supermercadista na regiao,Hortolandia,economia,media,Sinal positivo de dinamica economica e trabalho formal,nao_identificado,baixo,positivo,economico
07/04/2026,Ciclista morre atropelado por caminhao na SP-101,6,multidimensional,CH_01,direta,Ciclista Rafael Meira 40 anos morto por caminhao na SP-101 km 11+500; motorista fugiu; seguia para o trabalho,Jardim São Bento,seguranca,alta,Vitima identificada; segundo evento negativo no Jd. Sao Bento; inicio de padrao territorial,341,alto,negativo,seguranca
07/04/2026,Fuga de adolescentes revela violencia domestica,6,capital_humano,CH_05,direta,Dois adolescentes 12 e 13 anos fogem no Parque Peron apos violencia psicologica e fisica pelo padrasto,Parque Peron,seguranca,alta,Interface com CH_05; Conselho Tutelar acionado,370,medio,negativo,seguranca
07/04/2026,Camara reorganiza seguranca no trabalho,9,governanca,SMIDS_GOV,contextual,PL 34/2026 aprovado; redefine condicoes laborais dos servidores municipais,Hortolândia,institucional,baixa,Reorganizacao interna administrativa; sem impacto direto nas variaveis IVS,nao_aplicavel,nao_aplicavel,positivo,institucional
07/04/2026,Homem preso com arma em casa noturna,11,capital_humano,CH_08,indireta,Homem preso no Jd. Sao Sebastiao com pistola Glock .380 sem documentacao,Jardim São Sebastião,seguranca,media,Porte ilegal de arma; localizacao confirmada,349,baixo,negativo,seguranca
08/04/2026,Hortolandia inaugura viaduto Vila Real,4,infraestrutura_urbana,IU_03,direta,Viaduto sobre linha ferrea da Vila Real inaugurado em 13/04; 240m; 4 pistas; ciclovia; conecta Jd. Amanda + Centro + Nova Hortolandia,Vila Real,infraestrutura,alta,Obra estruturante de mobilidade urbana; impacto direto em IU_03; reduz barreira ferroviaria,63,alto,positivo,infraestrutura
08/04/2026,Saude imuniza 130 idosos contra gripe no CCMI,4,capital_humano,CH_01,direta,Campanha Influenza iniciada 28/03; 130 idosos imunizados no CCMI Remanso Campineiro; meta 90% publicos-alvo,Remanso Campineiro,politica_publica,media,Equipamento de saude voltado a populacao idosa; interface com RT_04,66,alto,positivo,institucional
08/04/2026,Zeze busca apoio Estado para Monte Sinai,8,infraestrutura_urbana,IU_01,direta,Prefeito esteve no Palacio dos Bandeirantes; pleiteia infraestrutura saude e creche para Jd. Santiago e Monte Sinai,Monte Sinai,politica_publica,alta,Articulacao federativa para regiao de crescimento populacional; coords_preliminares: lat -22.864138 lon -47.164362 (SIG Hortolândia),ocup_sem_cod,medio,positivo,institucional
08/04/2026,Hortolandia premiada Premio de Excelencia Educacional 2025,9,capital_humano,CH_07,direta,Premio do Governo do Estado; 5 escolas da rede municipal contempladas pelo Saresp,Hortolandia,politica_publica,media,Evidencia de capacidade institucional na educacao; interface CH_07 e CH_03,nao_aplicavel,nao_aplicavel,positivo,institucional
09/04/2026,"Gas R$132 em Hortolândia — alta 7,5% jan-mar/2026",4,renda_trabalho,RT_01,indireta,"Preco medio botijao 13kg passou de R$105,61 (jan) para R$113,54 (mar); maximo R$132; moradora Ana Paula Lara relata impacto no orcamento familiar",Hortolândia,pressao_orcamentaria,alta,Alta continua e disseminada nas revendas; pressao direta sobre familias de baixa renda; contexto: tensao EUA-Ira pressiona GLP importado,nao_aplicavel,nao_aplicavel,negativo,economico
09/04/2026,SAMU Hortolândia — tratativas para regionalizacao Nova Odessa e Monte Mor,5,governanca,SMIDS_GOV,contextual,Representantes de Nova Odessa e Monte Mor no Paco Municipal; Hortolândia apresentou estrutura e exigencias legais; regionalizacao prevista desde 2008; adesao depende do Ministerio da Saude,Hortolândia,politica_publica,media,Coordenador Renato Lopes Machado; secretaria-adjunta Jennifer Bazilio; SAMU ja atende chamadas de Sumare; reforma e ampliacao da central recentes,nao_aplicavel,nao_aplicavel,positivo,institucional
09/04/2026,Fundo Social — 39 formandos em 3 cursos profissionalizantes,6,renda_trabalho,RT_02,direta,Cursos: Instalacao Fotovoltaica (Senai) + Pascoa Criativa + Senac + Trancas Afro; cerimonia no Centro Paulo Freire; Maria dos Anjos e Zeze Gomes presentes; mais de 1000 formandos em 2025,Remanso Campineiro,politica_publica,media,Acao do Fundo Social; parceria Senai/Senac; programa gratuito com material incluido; depoimento formanda reforca importancia para mulheres,66,alto,positivo,institucional
09/04/2026,Dupla detida apos perseguicao — Parque Sao Jorge / Parque do Horto,6,capital_humano,CH_08,indireta,Jovem 19 anos preso e adolescente 17 apreendido; perseguicao iniciada Rua Goias no Parque Sao Jorge; colisao em Sumare; roubo de veiculo com duas mulheres rendidas,Parque São Jorge,seguranca,alta,Evento central e o roubo com envolvimento de menor de idade; desfecho positivo da acao policial nao apaga manifestacao de vulnerabilidade juvenil,342,baixo,negativo,seguranca
09/04/2026,Poco artesiano Jd. Mirante improprio para consumo humano,7,infraestrutura_urbana,IU_01,direta,STD acima do limite da Portaria 888/2021; poco interditado desde final de marco; causa: oxidacao interna do reservatorio metalico apos limpeza; prefeitura contratando empresa para manutencao,Jardim Mirante,infraestrutura,alta,Engenheira ambiental Michelle Gouvea Martins confirmou alteracao pontual; nova analise laboratorial antes de retomada; populacao deve evitar coleta,331,medio,negativo,infraestrutura
09/04/2026,1o Forum Regional de Transparencia — Camara Municipal de Hortolândia (10/04),4,governanca,SMIDS_GOV,contextual,Evento 10/04 das 9h as 16h na Camara Municipal; publico-alvo: procuradores controladores comunicadores ouvidores parlamentares prefeitos; inscricoes araras.sp.leg.br/escola,Hortolândia,governanca,media,Camara de Hortolândia realizadora; tema: transparencia em setores publicos; fortalece ambiente institucional do Atlas Social,nao_aplicavel,nao_aplicavel,positivo,institucional
